Time,Action,Data
2016/03/08 16:16:41,Create,"{u'description': u'Use keyboard to navigate a grid of figures to analyze the efficacy of different transitions', u'title': u'Object Persistence Experiment', u'url': u'https://stanford.edu/~jedtan/jedtanProject/project/persistence_experiment.html', u'assignment_duration': u'20 minute', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'puppy, kitten, cute', u'auto_approval_delay': u'5 minutes', u'reward': 1.0}"
2016/03/08 16:41:13,Expire,
2016/03/08 16:45:47,Create,"{u'description': u'Use keyboard to navigate a grid of figures to analyze the efficacy of different transitions', u'title': u'Object Persistence Experiment', u'url': u'https://stanford.edu/~jedtan/jedtanProject/project/persistence_experiment.html', u'assignment_duration': u'35 minute', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'puppy, kitten, cute', u'auto_approval_delay': u'5 minutes', u'reward': 1.0}"
2016/03/09 18:51:48,Create,"{u'description': u'Use keyboard to navigate a grid of figures to analyze the efficacy of different transitions', u'title': u'Object Persistence Experiment', u'url': u'https://stanford.edu/~jedtan/jedtanProject/project/persistence_experiment.html', u'assignment_duration': u'45 minute', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'puppy, kitten, cute', u'auto_approval_delay': u'5 minutes', u'reward': 1.0}"
2016/03/09 20:08:14,Create,"{u'description': u'Use keyboard to navigate a grid of figures to analyze the efficacy of different transitions', u'title': u'Object Persistence Experiment', u'url': u'https://stanford.edu/~jedtan/jedtanProject/project/persistence_experiment.html', u'assignment_duration': u'45 minute', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'puppy, kitten, cute', u'auto_approval_delay': u'5 minutes', u'reward': 1.0}"
2016/03/10 21:59:42,Create,"{u'description': u'Use keyboard to navigate a grid of figures to analyze the efficacy of different transitions', u'title': u'Object Persistence Experiment', u'url': u'https://stanford.edu/~jedtan/jedtanProject/project/test.html', u'assignment_duration': u'45 minute', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'puppy, kitten, cute', u'auto_approval_delay': u'5 minutes', u'reward': 1.0}"
2016/03/11 01:30:18,Create,"{u'description': u'Use keyboard to navigate a grid of figures to analyze the efficacy of different transitions', u'title': u'Object Persistence Experiment', u'url': u'https://stanford.edu/~jedtan/jedtanProject/project/test.html', u'assignment_duration': u'45 minute', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'puppy, kitten, cute', u'auto_approval_delay': u'5 minutes', u'reward': 1.0}"
2016/03/11 12:15:03,Create,"{u'description': u'Use your keyboard to navigate a grid of figures to analyze the efficacy of different transitions. Keyboard required!', u'title': u'Object Persistence Experiment', u'url': u'https://stanford.edu/~jedtan/jedtanProject/project/test.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'smartphone, transition, experiment, keyboard', u'auto_approval_delay': u'5 minutes', u'reward': 3.0}"
2016/03/11 14:11:44,Create,"{u'description': u'Use your keyboard to navigate a grid of figures to analyze the efficacy of different transitions. Keyboard required!', u'title': u'Object Persistence Experiment', u'url': u'https://stanford.edu/~jedtan/jedtanProject/project/test.html', u'assignment_duration': u'1 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'smartphone, transition, experiment, keyboard', u'auto_approval_delay': u'5 minutes', u'reward': 3.0}"
